Name, Symbol, Atomic_Number, Atomic_Weight, Melting_Point, Boiling_Point, Atomic_Radius, Specific_Heat, Electronic_Configuration
Iridium, Ir,77,192.22,2683,4403,136,0.133,[Xe]4f¹5d6s²
Platinum, Pt,78,195.08,2045,4100,139,0.133,[Xe]4f¹5d6s²
Gold, Au,79,196.96654,1337.58,3080,146,0.129,[Xe]4f¹5d¹6s²
Mercury, Hg,80,200.59,234.28,629.73,157,0.138,[Xe]4f¹5d¹6s²
Thallium, Tl,81,204.3833,576.6,1730,171,0.128,[Xe]4f¹5d¹6s²6p¹
Lead, Pb,82,207.2,600.65,2013,175,0.159,[Xe]4f¹5d¹6s²6p²
Bismuth, Bi,83,208.98037,544.5,1883,170,0.124,[Xe]4f¹5d¹6s²6p³
Polonium, Po,84,208.9824,527,1235,176,0.125,[Xe]4f¹5d¹6s²6p
Astatine, At,85,209.9871,575,610, -, -,[Xe]4f¹5d¹6s²6p
Radon, Rn,86,222.0176,202,211.4, -,0.094,[Xe]4f¹5d¹6s²6p
Francium, Fr,87,223.0197,300,950, -, -,[Rn]7s¹
Radium, Ra,88,226.0254,973,1413, -,0.12,[Rn]7s²
Actinium, Ac,89,227.0278,1320,3470,188, -,[Rn]6d¹7s²
Thorium, Th,90,232.0381,2028,5060,180,0.113,[Rn]5f6d¹7s²
Protactinium, Pa,91,231.03588,2113,4300,161,0.121,[Rn]5f²6d¹7s²
Uranium, U,92,238.0289,1405.5,4018,138,0.115,[Rn]5f³6d¹7s²
Neptunium, Np,93,237.048,913,4175,130, -,[Rn]5f6d¹7s²
Plutonium, Pu,94,244.0642,914,3505,151, -,[Rn]5f6d7s²
Americium, Am,95,243.0614,1267,2880,173, -,[Rn]5f6d7s²
Curium, Cm,96,247.0703,1340, -,299, -,[Rn]5f6d¹7s²
Berkelium, Bk,97,247.0703, -, -,297, -,[Rn]5f6d7s²
Californium, Cf,98,251.0796,900, -,295, -,[Rn]5f¹6d7s²
Einsteinium, Es,99,252.083, -,1130,292, -,[Rn]5f¹¹6d7s²
Fermium, Fm,100,257.0951,1800, -,290, -,[Rn]5f¹²6d7s²
Mendelevium, Md,101,258.1,1100, -,287, -,[Rn]5f¹³6d7s²
Nobelium, No,102,259.1009,1100, -,285, -,[Rn]5f¹6d7s²
Lawrencium, Lr,103,262.11, -, -,282, -,[Rn]5f¹6d¹7s²
Rutherfordium, Rf,104,[261], -, -, -, -,[Rn]5f¹6d²7s²
Dubnium, Db,105,[262], -, -, -, -,[Rn]5f¹6d³6s²
Seaborgium, Sg,106,[266], -, -, -, -,[Rn]5f¹6d¹7s²
Bohrium, Bh,107,[264], -, -, -, -, -
Hassium, Hs,108,[269], -, -, -, -, -
Meitnerium, Mt,109,[268], -, -, -, -, -
Ununnilium, Uun,110,[269], -, -, -, -, -
Unununium, Uuu,111,[272], -, -, -, -, -
Ununbium, Uub,112,[277], -, -, -, -, -
Ununtrium, Uut,113, -, -, -, -, -, -
Ununquadium, Uuq,114,[289], -, -, -, -, -
Ununpentium, Uup,115, -, -, -, -, -, -
Ununhexium, Uuh,116, -, -, -, -, -, -
Ununseptium, Uus,117, -, -, -, -, -, -
Ununoctium, Uuo,118, -, -, -, -, -, -
